,transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
1,Manual,Maruti,2015,415000.00000000006,Petrol,7.0,20687.0,First Owner,1196,73.0,15.37,Chennai
2,Manual,Nissan,2021,750000.0,Petrol,5.0,30000.0,First Owner,999,98.63,20.0,Chennai
3,Manual,Hyundai,2015,398000.0,Petrol,5.0,59247.0,First Owner,1086,68.05,19.81,Chennai
4,Manual,Honda,2015,550000.0,Petrol,5.0,50000.0,First Owner,1199,88.7,18.7,Chennai
5,Automatic,Mercedes-Benz,2016,3300000.0,Diesel,5.0,20000.0,First Owner,2143,204.0,13.0,Chennai
6,Automatic,Maruti,2016,453000.0,Petrol,5.0,29403.0,First Owner,998,67.04,23.1,Chennai
7,Manual,Maruti,2010,285000.0,Petrol,5.0,42700.0,First Owner,998,66.1,19.0,Chennai
8,Automatic,BMW,2018,5000000.0,Diesel,5.0,23001.0,First Owner,1995,187.7,16.55,Chennai
9,Automatic,Ford,2018,821000.0000000001,Petrol,5.0,25925.0,Second Owner,1497,121.36,14.8,Chennai
10,Manual,Hyundai,2021,865000.0,Petrol,5.0,20000.0,First Owner,1197,81.8,21.0,Chennai
11,Automatic,Honda,2019,792000.0,Petrol,5.0,17711.0,First Owner,1199,88.7,18.2,Chennai
12,Automatic,BMW,2020,4050000.0,Diesel,5.0,50000.0,First Owner,1995,187.74,20.37,Chennai
13,Manual,Maruti,2018,610000.0,Petrol,5.0,50000.0,First Owner,1197,81.8,22.0,Chennai
14,Manual,Hyundai,2018,511000.00000000006,Petrol,5.0,51125.0,Second Owner,1197,81.86,18.9,Chennai
15,Manual,Tata,2019,710000.0,Diesel,5.0,69233.0,First Owner,1497,108.5,21.5,Chennai
16,Manual,Jeep,2017,1225000.0,Diesel,5.0,65000.0,First Owner,1956,167.67,17.1,Chennai
17,Manual,Honda,2014,570000.0,Petrol,5.0,93281.0,First Owner,1497,117.3,17.4,Chennai
19,Manual,Honda,2014,375000.0,Petrol,5.0,99225.0,Second Owner,1198,86.7,18.0,Chennai
20,Manual,Hyundai,2016,275000.0,Petrol,5.0,30000.0,First Owner,998,68.05,20.3,Chennai
21,Manual,Honda,2014,429000.0,Petrol,5.0,30602.0,First Owner,1198,86.7,18.0,Chennai
22,Manual,Maruti,2018,675000.0,Diesel,5.0,64500.0,First Owner,1248,74.0,25.2,Chennai
23,Manual,Honda,2017,793000.0,Petrol,5.0,46809.0,Second Owner,1497,117.3,17.8,Chennai
25,Automatic,Hyundai,2019,1425000.0,Diesel,5.0,20000.0,First Owner,1582,126.2,17.01,Chennai
26,Automatic,Hyundai,2020,1036000.0,Petrol,5.0,21725.0,First Owner,998,118.35,18.15,Chennai
27,Manual,Honda,2016,800000.0,Petrol,5.0,80000.0,First Owner,1497,117.3,17.8,Chennai
28,Automatic,Audi,2013,1400000.0,Petrol,5.0,88000.0,Second Owner,1984,177.01,13.53,Chennai
29,Automatic,Honda,2019,1088000.0,Petrol,5.0,30360.0,Second Owner,1497,117.6,17.4,Chennai
30,Automatic,Maruti,2017,590000.0,Petrol,5.0,70000.0,Second Owner,1197,83.1,21.4,Chennai
31,Manual,Hyundai,2016,568000.0,Petrol,5.0,16246.0,First Owner,1197,82.0,18.9,Chennai
32,Automatic,Maruti,2017,400000.0,Petrol,5.0,55000.0,Second Owner,998,67.04,23.1,Chennai
33,Automatic,Toyota,2022,2790000.0,Petrol,7.0,13000.0,First Owner,2694,163.6,8.0,Chennai
34,Automatic,Maruti,2016,422000.0,Petrol,5.0,71638.0,Second Owner,998,67.04,23.1,Chennai
35,Manual,Honda,2015,450000.0,Petrol,5.0,46105.0,First Owner,1198,86.7,18.0,Chennai
36,Manual,Honda,2017,650000.0,Petrol,5.0,60000.0,First Owner,1199,88.7,17.5,Chennai
37,Manual,Honda,2017,575000.0,Diesel,5.0,80000.0,First Owner,1498,98.6,27.3,Chennai
38,Automatic,Mercedes-Benz,2015,1950000.0,Diesel,5.0,58000.0,First Owner,2143,107.3,15.0,Chennai
39,Manual,Maruti,2008,150000.0,Petrol,5.0,70000.0,Second Owner,1298,85.0,15.9,Chennai
40,Automatic,Maruti,2017,702000.0,Petrol,5.0,61764.0,First Owner,1197,83.1,21.4,Chennai
41,Manual,Mahindra,2016,448000.00000000006,Petrol,6.0,36018.0,Second Owner,1198,82.0,18.15,Chennai
42,Automatic,Renault,2016,650000.0,Diesel,5.0,150000.0,First Owner,1461,108.45,19.6,Chennai
43,Manual,Hyundai,2022,801000.0,Petrol,5.0,17197.0,First Owner,998,98.63,20.7,Chennai
44,Automatic,Honda,2016,772000.0,Petrol,5.0,62931.0,Second Owner,1497,117.3,18.0,Chennai
45,Manual,Toyota,2013,500000.0,Petrol,5.0,90000.0,Second Owner,1798,138.1,14.53,Chennai
46,Manual,Mahindra,2021,1103000.0,Petrol,5.0,21023.0,First Owner,1197,108.62,16.82,Chennai
47,Manual,Toyota,2018,1490000.0,Diesel,5.0,43000.0,First Owner,1364,86.79,21.43,Chennai
48,Automatic,Maruti,2017,627000.0,Diesel,5.0,110505.0,First Owner,1248,74.02,28.4,Chennai
49,Manual,Hyundai,2018,835000.0,Petrol,5.0,78892.0,First Owner,1591,121.3,17.0,Chennai
50,Automatic,Audi,2015,2089999.9999999998,Diesel,5.0,59000.0,First Owner,1968,187.74,18.53,Chennai
51,Manual,Chevrolet,2014,350000.0,Petrol,5.0,90058.0,First Owner,1199,82.4,18.2,Chennai
52,Automatic,Audi,2015,2100000.0,Diesel,5.0,69000.0,First Owner,2967,241.4,13.22,Chennai
53,Manual,Honda,2019,925000.0,Diesel,5.0,67000.0,First Owner,1498,98.6,25.5,Chennai
54,Manual,Maruti,2017,850000.0,Diesel,5.0,80000.0,First Owner,1248,88.5,28.09,Chennai
56,Automatic,Audi,2020,6600000.0,Diesel,7.0,57000.0,First Owner,2967,245.0,14.75,Chennai
57,Manual,Toyota,2018,2150000.0,Diesel,8.0,800000.0,First Owner,2393,147.8,13.68,Chennai
58,Automatic,Mercedes-Benz,2018,3600000.0,Diesel,5.0,5500000.0,First Owner,2143,167.62,19.27,Chennai
59,Automatic,BMW,2017,6800000.0,Diesel,5.0,27000.0,First Owner,2993,258.0,16.46,Chennai
60,Manual,Tata,2018,707000.0,Petrol,5.0,38334.0,First Owner,1198,108.5,17.0,Chennai
61,Manual,Volkswagen,2019,680000.0,Petrol,5.0,36992.0,First Owner,999,75.1,17.74,Chennai
62,Automatic,BMW,2016,3750000.0,Diesel,5.0,50000.0,Second Owner,2993,258.0,16.55,Chennai
63,Automatic,Tata,2021,2039000.0,Diesel,6.0,34596.0,First Owner,1956,167.67,14.08,Chennai
64,Manual,Datsun,2019,401000.0,Petrol,5.0,84564.0,First Owner,1198,67.05,19.02,Chennai
65,Automatic,Mercedes-Benz,2013,2150000.0,Diesel,5.0,60001.0,Second Owner,2143,204.0,13.0,Chennai
66,Manual,Hyundai,2018,505000.0,Petrol,5.0,23462.0,First Owner,1086,68.0,20.3,Chennai
67,Automatic,Volkswagen,2022,1599000.0,Petrol,5.0,13000.0,First Owner,999,113.98,18.41,Chennai
68,Automatic,Honda,2019,830000.0000000001,Diesel,5.0,54658.0,First Owner,1498,78.9,23.8,Chennai
69,Manual,Mahindra,2020,1036000.0,Petrol,5.0,34164.0,First Owner,1197,108.62,16.82,Chennai
70,Manual,Kia,2022,1595000.0,Petrol,5.0,10000.0,First Owner,1497,113.43,16.8,Chennai
71,Manual,Fiat,2010,100000.0,Petrol,5.0,70000.0,Third Owner,1368,88.7,14.6,Chennai
72,Manual,Hyundai,2020,825000.0,Petrol,5.0,37000.0,First Owner,1197,81.86,17.52,Chennai
74,Manual,Maruti,2016,550000.0,Petrol,5.0,53967.0,First Owner,1197,83.1,21.4,Chennai
75,Manual,Hyundai,2011,299000.0,Petrol,5.0,52700.0,First Owner,1197,78.9,20.36,Chennai
76,Automatic,Tata,2018,750000.0,Petrol,5.0,60000.0,First Owner,1198,108.5,17.0,Chennai
78,Manual,Honda,2014,375000.0,Petrol,5.0,99225.0,Second Owner,1199,88.76,18.6,Chennai
79,Manual,Fiat,2011,265000.0,Petrol,5.0,60000.0,Second Owner,1368,90.0,16.0,Chennai
80,Automatic,Honda,2020,808000.0,Petrol,5.0,48220.0,First Owner,1199,88.5,17.1,Chennai
81,Manual,Honda,2016,542000.0,Petrol,5.0,72024.0,First Owner,1199,88.7,18.7,Chennai
82,Automatic,Honda,2016,529000.0,Petrol,5.0,80000.0,First Owner,1198,86.7,15.5,Chennai
83,Manual,Volkswagen,2017,684000.0,Petrol,5.0,78735.0,First Owner,1199,74.0,16.2,Chennai
84,Manual,Ford,2018,813000.0000000001,Diesel,5.0,72955.0,Second Owner,1498,98.96,23.0,Chennai
85,Automatic,Maruti,2015,650000.0,Petrol,5.0,40000.0,First Owner,1373,91.1,19.12,Chennai
86,Manual,Jeep,2021,1802000.0,Petrol,5.0,14037.0,First Owner,1368,160.77,14.3,Chennai
87,Manual,Hyundai,2019,745000.0,Petrol,5.0,29000.0,First Owner,1197,81.86,18.6,Chennai
88,Manual,Maruti,2017,619000.0,Petrol,5.0,69864.0,First Owner,1197,83.1,21.4,Chennai
89,Manual,Hyundai,2019,650000.0,Petrol,5.0,35739.0,First Owner,1197,81.86,20.14,Chennai
90,Automatic,Honda,2016,500000.0,Petrol,5.0,120000.0,Second Owner,1199,88.7,19.0,Chennai
91,Manual,Maruti,2019,1145000.0,Diesel,7.0,18000.0,First Owner,1248,88.5,24.52,Chennai
92,Manual,Tata,2019,1600000.0,Diesel,5.0,21000.0,First Owner,1956,167.67,16.35,Chennai
93,Manual,Maruti,2016,540000.0,Petrol,5.0,70404.0,First Owner,1197,83.1,21.4,Chennai
94,Manual,Volkswagen,2015,675000.0,Petrol,5.0,63000.0,First Owner,1598,103.2,16.09,Chennai
95,Manual,Volkswagen,2017,509999.99999999994,Petrol,5.0,88000.0,Second Owner,1198,73.75,17.0,Chennai
96,Manual,Honda,2017,830000.0000000001,Petrol,5.0,65000.0,First Owner,1497,117.6,17.4,Chennai
97,Automatic,Land,2017,3900000.0,Diesel,7.0,30000.0,Second Owner,2179,187.7,12.51,Chennai
98,Automatic,Honda,2012,509999.99999999994,Petrol,5.0,71423.0,First Owner,1497,116.3,15.6,Chennai
99,Automatic,Maruti,2019,1200000.0,Petrol,6.0,80000.0,First Owner,1462,103.2,17.99,Chennai
100,Manual,Honda,2017,766000.0,Petrol,5.0,85759.0,First Owner,1497,117.3,17.8,Chennai
101,Manual,Hyundai,2019,449000.0,Petrol,5.0,24422.0,First Owner,1086,68.0,20.3,Chennai
102,Manual,Hyundai,2017,750000.0,Petrol,5.0,90000.0,Fourth Owner,1591,121.3,17.0,Chennai
103,Manual,Honda,2012,317000.0,Petrol,5.0,67091.0,Second Owner,1198,86.8,19.4,Chennai
104,Manual,MG,2020,1560000.0,Petrol,5.0,72787.0,First Owner,1451,141.0,15.81,Chennai
105,Manual,Ford,2017,1900000.0,Diesel,7.0,120000.0,Second Owner,2198,157.7,13.5,Chennai
106,Manual,Hyundai,2017,522000.0,Petrol,5.0,90142.0,First Owner,1197,81.86,18.9,Chennai
107,Manual,Hyundai,2015,500000.0,Petrol,5.0,150000.0,First Owner,1197,81.83,18.6,Chennai
108,Manual,Ford,2018,627000.0,Petrol,5.0,33256.0,First Owner,1194,94.68,19.0,Chennai
109,Automatic,Maruti,2018,687000.0,Petrol,5.0,70027.0,First Owner,1197,83.1,21.4,Chennai
110,Manual,Hyundai,2007,204999.99999999997,Diesel,5.0,120000.0,Third Owner,1991,142.0,13.6,Chennai
111,Manual,Volkswagen,2015,525000.0,Petrol,5.0,60000.0,Second Owner,1199,74.0,16.2,Chennai
112,Manual,Maruti,2017,620000.0,Diesel,5.0,73686.0,First Owner,1248,74.0,25.2,Chennai
113,Manual,Mahindra,2018,825000.0,Diesel,7.0,44000.0,Second Owner,1493,100.0,18.49,Chennai
114,Manual,Maruti,2015,530000.0,Petrol,5.0,75581.0,First Owner,1197,81.8,21.21,Chennai
115,Automatic,Mercedes-Benz,2015,3600000.0,Diesel,5.0,58000.0,First Owner,2143,203.2,15.26,Chennai
116,Automatic,Audi,2015,1950000.0,Diesel,5.0,50000.0,Second Owner,1968,143.0,20.38,Chennai
117,Manual,Mahindra,2015,650000.0,Diesel,7.0,100000.0,First Owner,1493,100.0,18.49,Chennai
118,Manual,Maruti,2017,650000.0,Diesel,5.0,108902.0,First Owner,1248,88.5,28.09,Chennai
119,Manual,Volkswagen,2016,570000.0,Diesel,5.0,100425.0,First Owner,1498,108.62,21.66,Chennai
120,Manual,Hyundai,2016,458000.0,Petrol,5.0,70887.0,Second Owner,1197,82.0,19.1,Chennai
121,Manual,Honda,2016,577000.0,Petrol,5.0,114981.0,Second Owner,1497,117.3,17.8,Chennai
122,Manual,Honda,2018,900000.0,Petrol,5.0,45000.0,First Owner,1199,88.7,17.5,Chennai
123,Manual,Hyundai,2021,649000.0,Petrol,5.0,45416.0,First Owner,1197,81.86,20.7,Chennai
124,Manual,Hyundai,2016,549000.0,Petrol,5.0,119468.0,First Owner,1197,81.83,18.6,Chennai
125,Automatic,Volkswagen,2015,650000.0,Diesel,5.0,100000.0,Third Owner,1498,103.2,21.21,Chennai
126,Manual,Maruti,2017,513999.99999999994,Petrol,5.0,119975.0,First Owner,1197,88.5,22.41,Chennai
127,Automatic,BMW,2017,3900000.0,Petrol,5.0,19000.0,First Owner,1998,252.0,15.34,Chennai
128,Manual,Hyundai,2016,455999.99999999994,Petrol,5.0,64906.0,Second Owner,1197,82.0,18.9,Chennai
129,Manual,Maruti,2016,501999.99999999994,Petrol,5.0,81484.0,Second Owner,1197,83.1,21.4,Chennai
130,Manual,Maruti,2018,685000.0,Petrol,5.0,45067.0,First Owner,1197,81.8,21.21,Chennai
131,Automatic,Mercedes-Benz,2018,1.1,Petrol,4.0,68000.0,First Owner,4663,459.0,7.81,Chennai
132,Manual,Honda,2016,580000.0,Petrol,5.0,65768.0,First Owner,1199,88.7,18.7,Chennai
133,Manual,Honda,2016,530000.0,Petrol,5.0,61000.0,Second Owner,1199,88.7,18.7,Chennai
134,Automatic,Mercedes-Benz,2009,1700000.0,Diesel,5.0,50000.0,Third Owner,2987,210.0,13.0,Chennai
135,Automatic,BMW,2018,4375000.0,Diesel,5.0,23000.0,First Owner,1995,190.0,18.12,Chennai
136,Automatic,BMW,2018,8200000.0,Diesel,5.0,17000.0,First Owner,2993,258.0,16.46,Chennai
137,Automatic,Maruti,2017,420000.0,Petrol,5.0,102958.0,First Owner,998,67.04,23.1,Chennai
138,Manual,Toyota,2013,775000.0,Diesel,5.0,62900.0,First Owner,1364,87.2,21.43,Chennai
139,Manual,Maruti,2015,395000.0,Petrol,5.0,65076.0,Second Owner,998,67.04,20.51,Chennai
140,Manual,Maruti,2016,533000.0,Petrol,5.0,75876.0,First Owner,1197,83.1,21.4,Chennai
141,Manual,Hyundai,2015,547000.0,Petrol,5.0,98911.0,First Owner,1197,81.83,18.6,Chennai
142,Manual,Maruti,2015,395000.0,Petrol,5.0,45000.0,First Owner,998,67.04,23.1,Chennai
143,Automatic,Hyundai,2017,908000.0,Diesel,5.0,76089.0,First Owner,1582,126.2,19.08,Chennai
144,Manual,Hyundai,2017,521000.0,Petrol,5.0,54505.0,Second Owner,1197,81.86,18.9,Chennai
145,Automatic,Audi,2019,2290000.0,Diesel,5.0,24000.0,First Owner,1968,143.0,20.38,Chennai
146,Manual,Maruti,2016,507000.0,Petrol,5.0,96573.0,First Owner,1197,88.5,22.41,Chennai
148,Manual,Hyundai,2016,528000.0,Petrol,5.0,63720.0,Second Owner,1197,82.0,18.9,Chennai
149,Manual,Maruti,2021,434999.99999999994,Petrol,5.0,14411.0,First Owner,796,47.33,22.05,Chennai
150,Automatic,Volkswagen,2022,1490000.0,Petrol,5.0,11000.0,First Owner,999,113.98,18.41,Chennai
151,Automatic,Skoda,2022,1789999.9999999998,Petrol,5.0,21000.0,First Owner,1498,147.51,18.86,Chennai
152,Manual,Honda,2017,625000.0,Petrol,5.0,34392.0,First Owner,1199,88.7,17.5,Chennai
153,Manual,Hyundai,2022,690000.0,Petrol,5.0,20000.0,First Owner,1197,81.86,20.7,Chennai
154,Manual,Kia,2022,1350000.0,Petrol,5.0,10000.0,First Owner,998,118.36,18.2,Chennai
155,Automatic,MG,2022,1550000.0,Petrol,5.0,20000.0,First Owner,1498,108.49,14.82,Chennai
156,Automatic,Toyota,2019,790000.0,Petrol,5.0,47000.0,First Owner,1197,81.8,19.56,Chennai
157,Manual,Maruti,2014,270000.0,Petrol,5.0,60333.0,Second Owner,998,67.05,23.95,Chennai
158,Manual,Hyundai,2014,365000.0,Diesel,5.0,81058.0,First Owner,1186,73.97,24.0,Chennai
159,Manual,Honda,2010,425000.0,Petrol,5.0,51800.0,Second Owner,1799,130.0,13.5,Chennai
160,Manual,Hyundai,2016,528000.0,Petrol,5.0,32797.0,Second Owner,1197,82.0,18.9,Chennai
161,Manual,Hyundai,2016,511000.00000000006,Petrol,5.0,69731.0,First Owner,1197,82.0,18.9,Chennai
162,Manual,Honda,2016,625000.0,Petrol,5.0,54000.0,Second Owner,1497,117.3,17.8,Chennai
163,Manual,Nissan,2016,327000.0,Petrol,5.0,110267.0,Second Owner,1198,67.04,19.49,Chennai
164,Manual,Mahindra,2018,505000.0,Petrol,6.0,31767.0,First Owner,1198,82.0,18.15,Chennai
165,Manual,Honda,2018,640000.0,Petrol,5.0,45677.0,Second Owner,1199,88.7,17.5,Chennai
166,Manual,Maruti,2017,449000.0,Petrol,5.0,66656.0,First Owner,998,65.71,25.24,Chennai
167,Manual,Honda,2019,725000.0,Diesel,5.0,27000.0,First Owner,1498,98.63,24.7,Chennai
168,Manual,Renault,2021,495000.0,Petrol,5.0,37004.0,First Owner,999,67.0,21.74,Chennai
169,Manual,Hyundai,2011,271000.0,Petrol,5.0,85274.0,Second Owner,1197,78.9,20.36,Chennai
170,Manual,Hyundai,2017,940000.0,Diesel,5.0,60000.0,Second Owner,1582,126.2,19.67,Chennai
171,Manual,Honda,2017,799000.0,Petrol,5.0,42000.0,First Owner,1497,117.6,17.4,Chennai
174,Automatic,Mercedes-Benz,2017,4500000.0,Diesel,5.0,25000.0,First Owner,1950,191.7,16.1,Chennai
175,Manual,Mahindra,2014,700000.0,Diesel,7.0,80000.0,Third Owner,2179,140.0,15.1,Chennai
176,Manual,Hyundai,2015,585000.0,Petrol,5.0,60000.0,Second Owner,1591,121.3,17.1,Chennai
177,Manual,Tata,2022,2050000.0,Diesel,5.0,20000.0,First Owner,1956,167.67,16.35,Chennai
181,Manual,Hyundai,2018,451000.0,Petrol,5.0,65607.0,First Owner,1086,68.0,20.3,Chennai
183,Manual,Hyundai,2016,631000.0,Petrol,5.0,74777.0,First Owner,1197,81.83,18.6,Chennai
184,Manual,Toyota,2012,411000.00000000006,Petrol,5.0,102392.0,Second Owner,1496,88.73,17.6,Chennai
185,Manual,Skoda,2015,500000.0,Diesel,5.0,90210.0,First Owner,1498,103.6,21.14,Chennai
186,Manual,Maruti,2014,488000.0,Petrol,5.0,62373.0,First Owner,1197,88.5,22.41,Chennai
187,Manual,Tata,2015,459999.99999999994,Diesel,5.0,80000.0,First Owner,1248,74.0,22.95,Chennai
188,Automatic,Maruti,2018,513999.99999999994,Petrol,5.0,25219.0,Second Owner,998,65.71,26.0,Chennai
189,Manual,Maruti,2014,508000.0,Diesel,5.0,64409.0,Third Owner,1248,74.0,25.2,Chennai
190,Manual,Tata,2018,865000.0,Diesel,5.0,52000.0,First Owner,1497,108.5,21.5,Chennai
191,Automatic,Maruti,2018,855000.0000000001,Petrol,5.0,30000.0,Second Owner,1462,103.25,20.28,Chennai
192,Automatic,Mercedes-Benz,2020,1.18,Diesel,5.0,14000.0,First Owner,2925,281.61,13.5,Chennai
193,Manual,Hyundai,2019,925000.0,Diesel,5.0,48574.0,First Owner,1396,88.76,23.7,Chennai
194,Automatic,Honda,2012,509999.99999999994,Petrol,5.0,71423.0,First Owner,1497,1186600.0,16.8,Chennai
195,Automatic,Mercedes-Benz,2020,5700000.0,Diesel,5.0,30000.0,First Owner,1950,191.7,16.1,Chennai
196,Manual,Maruti,2013,350000.0,Petrol,5.0,75498.0,First Owner,998,67.1,18.9,Chennai
197,Manual,Honda,2017,630000.0,Petrol,5.0,95963.0,First Owner,1497,117.3,17.8,Chennai
198,Manual,Maruti,2015,409999.99999999994,Petrol,5.0,46613.0,First Owner,998,67.04,20.51,Chennai
199,Manual,Honda,2017,725000.0,Petrol,5.0,30000.0,First Owner,1199,88.7,17.5,Chennai
200,Manual,Honda,2015,466000.0,Petrol,5.0,18722.0,First Owner,1198,86.7,18.0,Chennai
201,Automatic,Kia,2023,1864000.0,Petrol,5.0,5593.0,First Owner,1353,138.08,16.5,Chennai
202,Automatic,Audi,2017,2700000.0,Diesel,5.0,40000.0,First Owner,1968,174.33,15.73,Chennai
203,Manual,Maruti,2021,503000.0,Petrol,5.0,20875.0,First Owner,998,65.71,25.24,Chennai
204,Manual,Renault,2018,309000.0,Petrol,5.0,46436.0,Second Owner,799,53.3,25.17,Chennai
205,Automatic,Honda,2016,640000.0,Petrol,5.0,127672.0,First Owner,1497,117.3,18.0,Chennai
206,Manual,Hyundai,2021,841000.0,Petrol,5.0,12814.0,First Owner,1197,81.86,17.52,Chennai
207,Manual,Tata,2022,1889999.9999999998,Diesel,7.0,26000.0,First Owner,1956,167.67,16.14,Chennai
208,Manual,Hyundai,2011,288000.0,Petrol,5.0,45851.0,First Owner,1197,78.9,20.36,Chennai
209,Manual,Hyundai,2021,940000.0,Petrol,5.0,36349.0,First Owner,998,118.35,18.0,Chennai
210,Automatic,Volkswagen,2018,844999.9999999999,Petrol,5.0,35000.0,First Owner,1197,103.5,17.21,Chennai
211,Automatic,Tata,2021,2055999.9999999998,Diesel,7.0,17059.0,First Owner,1956,167.67,14.08,Chennai
212,Automatic,BMW,2019,7700000.0,Diesel,5.0,37000.0,First Owner,2993,261.5,13.38,Chennai
213,Manual,Maruti,2016,400000.0,Petrol,5.0,48163.0,Second Owner,998,67.04,20.51,Chennai
214,Manual,Maruti,2013,425000.0,Petrol,5.0,40000.0,Third Owner,1197,85.8,19.1,Chennai
215,Manual,Tata,2008,200000.0,Diesel,5.0,150000.0,Second Owner,1405,70.0,17.0,Chennai
216,Manual,Volkswagen,2020,750000.0,Petrol,5.0,20000.0,First Owner,999,75.1,17.74,Chennai
217,Automatic,Hyundai,2019,1689999.9999999998,Diesel,5.0,47000.0,First Owner,1582,126.2,17.6,Chennai
218,Manual,Hyundai,2013,310000.0,Petrol,5.0,112711.0,First Owner,1197,78.9,20.36,Chennai
219,Automatic,Toyota,2020,3900000.0,Diesel,7.0,53000.0,First Owner,2755,174.5,15.04,Chennai
220,Automatic,Maruti,2016,437000.0,Petrol,5.0,65895.0,Second Owner,998,65.71,26.68,Chennai
221,Automatic,Mahindra,2022,1026000.0,Petrol,5.0,15625.0,First Owner,1197,108.6,17.0,Chennai
222,Manual,Maruti,2015,560000.0,Diesel,5.0,107595.0,First Owner,1248,74.0,25.2,Chennai
223,Manual,Maruti,2017,532000.0,Petrol,5.0,23838.0,First Owner,1197,81.8,20.89,Chennai
224,Manual,Maruti,2015,323000.0,Petrol,5.0,28975.0,First Owner,998,65.71,24.39,Chennai
225,Manual,Honda,2018,770000.0,Petrol,5.0,30742.0,First Owner,1199,88.7,17.5,Chennai
226,Manual,Maruti,2022,492000.0,Petrol,5.0,10363.0,First Owner,998,65.71,21.7,Chennai
227,Manual,Honda,2015,650000.0,Petrol,5.0,100000.0,First Owner,1497,117.3,17.4,Chennai
228,Manual,Honda,2016,633000.0,Petrol,5.0,75555.0,First Owner,1497,117.3,17.8,Chennai
229,Manual,Hyundai,2018,982000.0,Petrol,5.0,60929.0,Second Owner,1591,121.3,15.8,Chennai
230,Automatic,BMW,2009,1350000.0,Diesel,5.0,78000.0,Second Owner,2993,245.0,11.7,Chennai
231,Manual,Maruti,2017,900000.0,Diesel,5.0,120000.0,First Owner,1248,88.5,24.3,Chennai
232,Manual,Honda,2014,370000.0,Diesel,5.0,143185.0,First Owner,1498,98.6,25.8,Chennai
233,Manual,Maruti,2017,620000.0,Petrol,5.0,115434.0,First Owner,1373,91.1,20.73,Chennai
234,Manual,Maruti,2018,480000.0,Petrol,5.0,43000.0,First Owner,1197,81.8,20.89,Chennai
235,Manual,Honda,2015,430000.0,Petrol,5.0,63309.0,First Owner,1198,86.8,18.5,Chennai
236,Manual,Maruti,2015,500000.0,Diesel,5.0,150000.0,First Owner,1248,74.0,25.2,Chennai
237,Automatic,BMW,2019,7600000.0,Diesel,5.0,53000.0,First Owner,2993,258.0,16.46,Chennai
238,Manual,Maruti,2019,790000.0,Petrol,5.0,39386.0,First Owner,1197,81.8,21.01,Chennai
239,Automatic,BMW,2018,5200000.0,Diesel,4.0,42000.0,First Owner,2993,261.4,17.09,Chennai
240,Automatic,Renault,2021,776000.0,Petrol,7.0,29257.0,First Owner,999,71.01,18.2,Chennai
241,Automatic,Maruti,2017,702000.0,Petrol,5.0,61829.0,First Owner,1197,83.1,21.4,Chennai
242,Manual,Maruti,2014,290000.0,Petrol,5.0,83901.0,First Owner,998,67.05,23.95,Chennai
243,Manual,Maruti,2014,383000.0,Petrol,5.0,33295.0,First Owner,998,65.71,25.24,Chennai
244,Manual,Maruti,2015,411000.00000000006,Petrol,5.0,33610.0,First Owner,998,65.71,25.24,Chennai
245,Manual,Maruti,2014,615000.0,Diesel,5.0,95600.0,First Owner,1248,88.5,26.21,Chennai
246,Manual,Tata,2018,515000.00000000006,Petrol,5.0,20960.0,First Owner,1199,84.0,23.84,Chennai
247,Automatic,BMW,2016,2575000.0,Diesel,5.0,66000.0,First Owner,1995,187.74,20.37,Chennai
248,Manual,Hyundai,2015,507000.0,Petrol,5.0,85105.0,Second Owner,1197,81.83,18.6,Chennai
249,Manual,Hyundai,2016,322000.0,Petrol,5.0,44519.0,Second Owner,814,55.2,21.1,Chennai
250,Manual,Maruti,2017,575000.0,Petrol,5.0,54024.0,First Owner,1197,83.1,21.4,Chennai
251,Manual,Maruti,2020,850000.0,Petrol,5.0,20027.0,First Owner,1197,81.8,21.01,Chennai
252,Automatic,Audi,2019,3700000.0,Diesel,5.0,44000.0,First Owner,1968,187.74,18.53,Chennai
253,Automatic,Audi,2014,1800000.0,Diesel,5.0,58000.0,First Owner,1968,174.33,15.73,Chennai
254,Manual,Honda,2013,425000.0,Diesel,5.0,67905.0,First Owner,1498,98.6,25.8,Chennai
255,Manual,Maruti,2017,650000.0,Petrol,5.0,62604.0,First Owner,1197,81.8,21.01,Chennai
256,Manual,Toyota,2009,750000.0,Diesel,7.0,120000.0,First Owner,2494,102.0,12.8,Chennai
257,Manual,Honda,2014,450000.0,Diesel,5.0,105781.0,First Owner,1498,98.6,25.8,Chennai
258,Manual,Maruti,2017,720000.0,Petrol,5.0,68724.0,First Owner,1373,91.1,20.73,Chennai
259,Automatic,Maruti,2014,425000.0,Petrol,5.0,67000.0,First Owner,998,67.04,23.1,Chennai
260,Manual,Hyundai,2010,235000.0,Petrol,5.0,110273.0,Second Owner,1197,78.9,20.36,Chennai
261,Automatic,Maruti,2016,437000.0,Petrol,5.0,65628.0,Second Owner,998,67.04,23.1,Chennai
262,Manual,Volkswagen,2014,409999.99999999994,Petrol,5.0,106075.0,First Owner,1198,74.0,16.47,Chennai
263,Manual,Maruti,2022,731000.0,Petrol,5.0,6023.0,First Owner,1197,81.8,20.89,Chennai
264,Manual,Tata,2018,501999.99999999994,Petrol,5.0,38999.0,Second Owner,1199,84.0,23.84,Chennai
