,transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
1085,Manual,Honda,2015,480000.0,Petrol,5.0,75000.0,Second Owner,1199,88.7,18.2,Chennai
1086,Manual,Ford,2018,794000.0,Diesel,5.0,87026.0,First Owner,1498,98.96,23.0,Chennai
1087,Automatic,Toyota,2021,2850000.0,Diesel,7.0,33000.0,First Owner,2393,148.0,12.0,Chennai
1088,Manual,Honda,2020,1069000.0,Petrol,5.0,37294.0,Second Owner,1498,119.35,18.6,Chennai
1089,Manual,Renault,2016,327000.0,Petrol,5.0,65840.0,First Owner,799,53.3,25.17,Chennai
1090,Automatic,Isuzu,2019,1900000.0,Diesel,7.0,45000.0,Second Owner,2999,175.0,13.8,Chennai
1091,Manual,Honda,2015,425000.0,Petrol,5.0,62865.0,First Owner,1199,88.76,18.6,Chennai
1092,Manual,Mahindra,2017,434999.99999999994,Diesel,6.0,62442.0,First Owner,1198,77.0,25.32,Chennai
1093,Manual,Volkswagen,2014,330000.0,Petrol,5.0,154931.0,Second Owner,1598,103.2,15.04,Chennai
1094,Manual,Honda,2017,800000.0,Petrol,5.0,63318.0,First Owner,1497,117.6,17.4,Chennai
1095,Manual,Honda,2017,750000.0,Petrol,5.0,47146.0,First Owner,1497,1186600.0,17.0,Chennai
1096,Automatic,Hyundai,2016,495000.0,Petrol,5.0,17797.0,First Owner,1197,81.86,18.9,Chennai
1097,Manual,Maruti,2015,475000.0,Petrol,5.0,52802.0,First Owner,1197,85.8,18.6,Chennai
1098,Manual,Honda,2018,700000.0,Diesel,5.0,46830.0,Second Owner,1498,98.6,25.5,Chennai
1099,Automatic,BMW,2016,2700000.0,Diesel,5.0,34000.0,First Owner,1995,188.0,21.76,Chennai
1100,Manual,Ford,2018,785000.0,Petrol,5.0,70038.0,First Owner,1497,121.31,17.0,Chennai
1101,Manual,Tata,2021,795000.0,Petrol,5.0,15957.0,First Owner,1199,108.48,18.05,Chennai
1102,Manual,Honda,2014,415000.00000000006,Petrol,5.0,63860.0,Second Owner,1199,88.76,18.6,Chennai
1103,Automatic,Maruti,2017,660000.0,Petrol,5.0,51252.0,First Owner,1197,81.8,21.21,Chennai
1104,Automatic,Ford,2015,543000.0,Petrol,5.0,56071.0,Second Owner,1499,110.4,15.63,Chennai
1105,Manual,Honda,2017,650000.0,Diesel,5.0,38100.0,First Owner,1498,98.6,27.3,Chennai
1106,Automatic,Mahindra,2017,1129000.0,Diesel,7.0,87634.0,Third Owner,1997,140.0,16.0,Chennai
1107,Manual,Hyundai,2010,270000.0,Petrol,5.0,14424.0,First Owner,1197,78.9,20.36,Chennai
1108,Automatic,Tata,2018,557000.0,Petrol,5.0,39542.0,Second Owner,1199,83.81,20.3,Chennai
1109,Manual,Hyundai,2016,441000.0,Petrol,5.0,114507.0,Second Owner,1197,82.0,18.9,Chennai
1110,Manual,Fiat,2015,340000.0,Diesel,5.0,67129.0,First Owner,1248,75.0,20.3,Chennai
1111,Manual,Volkswagen,2021,1000000.0,Petrol,5.0,35405.0,First Owner,999,108.62,18.24,Chennai
1112,Manual,Volkswagen,2010,295000.0,Diesel,5.0,62992.0,First Owner,1199,73.9,22.07,Chennai
1113,Manual,Hyundai,2009,165000.0,Petrol,5.0,94241.0,First Owner,1086,62.1,17.92,Chennai
1114,Manual,Tata,2013,149000.0,Diesel,5.0,101423.0,Second Owner,1396,69.0,25.0,Chennai
1115,Manual,Toyota,2013,475000.0,Petrol,5.0,21647.0,First Owner,1496,88.73,17.6,Chennai
1116,Manual,Nissan,2010,135000.0,Petrol,5.0,78210.0,Fourth Owner,1198,75.0,18.06,Chennai
1117,Manual,Hyundai,2015,430000.0,Petrol,5.0,39922.0,First Owner,1197,82.0,18.9,Chennai
1118,Manual,Maruti,2017,375000.0,Petrol,5.0,61372.0,Second Owner,998,67.05,21.79,Chennai
1119,Manual,Hyundai,2008,145000.0,Petrol,5.0,60250.0,First Owner,1086,68.05,19.81,Chennai
1120,Automatic,Hyundai,2014,398000.0,Petrol,5.0,91617.0,Third Owner,1197,82.0,18.9,Chennai
1121,Automatic,Hyundai,2021,1076000.0,Petrol,5.0,23899.0,First Owner,998,118.41,20.25,Chennai
1122,Manual,Maruti,2015,430000.0,Petrol,5.0,89000.0,First Owner,1197,81.8,21.21,Chennai
1123,Automatic,Maruti,2017,400000.0,Petrol,5.0,97445.0,Second Owner,998,67.04,23.1,Chennai
1124,Manual,Hyundai,2012,287000.0,Petrol,5.0,69680.0,Second Owner,1197,78.9,20.36,Chennai
1125,Manual,Hyundai,2014,495000.0,Petrol,5.0,87431.0,First Owner,1197,81.83,18.6,Chennai
1126,Manual,Hyundai,2015,298000.0,Petrol,5.0,98204.0,First Owner,814,55.2,21.1,Chennai
1127,Manual,Honda,2014,425000.0,Diesel,7.0,161471.0,First Owner,1498,98.6,24.2,Chennai
1128,Manual,Honda,2012,430999.99999999994,Petrol,5.0,108338.0,Second Owner,1497,116.3,16.8,Chennai
1129,Manual,Hyundai,2016,577000.0,Petrol,5.0,47045.0,First Owner,1197,81.83,18.6,Chennai
1130,Automatic,Tata,2018,600000.0,Petrol,5.0,18079.0,First Owner,1199,84.0,20.3,Chennai
1131,Manual,Hyundai,2009,225000.0,Petrol,5.0,44985.0,First Owner,1086,68.05,19.81,Chennai
1132,Manual,Maruti,2017,675000.0,Diesel,5.0,84095.0,First Owner,1248,88.5,26.21,Chennai
1133,Manual,Jeep,2020,1475000.0,Diesel,5.0,50520.0,First Owner,1956,170.0,17.1,Chennai
1134,Manual,Mahindra,2010,145000.0,Diesel,5.0,82124.0,Third Owner,1461,65.0,19.2,Chennai
1137,Automatic,Honda,2018,750000.0,Petrol,5.0,3228.0,First Owner,1199,88.7,18.1,Chennai
1138,Manual,Tata,2010,150000.0,Petrol,5.0,41516.0,First Owner,1193,64.1,15.64,Chennai
1139,Manual,Chevrolet,2012,195000.0,Diesel,5.0,86147.0,Second Owner,936,57.6,25.44,Chennai
1140,Manual,Honda,2010,364000.0,Petrol,5.0,101566.0,Third Owner,1497,1186600.0,17.0,Chennai
1141,Manual,Skoda,2018,729000.0,Diesel,5.0,73139.0,First Owner,1498,108.6,21.13,Chennai
1142,Automatic,Honda,2019,840000.0,Diesel,5.0,16787.0,First Owner,1498,78.9,21.0,Chennai
1143,Automatic,Skoda,2016,680000.0,Petrol,5.0,99715.0,Second Owner,1598,103.52,14.3,Chennai
1144,Manual,Datsun,2018,413999.99999999994,Petrol,7.0,44386.0,First Owner,1198,67.05,19.02,Chennai
1145,Manual,Volkswagen,2014,380000.0,Petrol,5.0,56200.0,First Owner,1598,103.5,15.26,Chennai
1146,Manual,Datsun,2018,428000.0,Petrol,7.0,17003.0,First Owner,1198,67.05,19.02,Chennai
1147,Automatic,Hyundai,2014,465000.00000000006,Petrol,5.0,44632.0,First Owner,1197,82.0,18.9,Chennai
1148,Automatic,Hyundai,2018,1034000.0,Petrol,5.0,32091.0,First Owner,1591,121.3,13.0,Chennai
1149,Automatic,Renault,2021,772000.0,Petrol,7.0,22740.0,Second Owner,999,71.01,18.2,Chennai
1150,Automatic,Mercedes-Benz,2016,3500000.0,Diesel,5.0,98000.0,Second Owner,2143,201.15,17.9,Chennai
1151,Manual,Volkswagen,2018,450000.0,Petrol,5.0,95495.0,First Owner,1198,73.75,17.0,Chennai
1152,Manual,Hyundai,2010,210000.0,Petrol,5.0,122533.0,Second Owner,1591,121.3,17.01,Chennai
1153,Manual,Maruti,2013,409999.99999999994,Petrol,5.0,55320.0,First Owner,1197,88.5,22.41,Chennai
1154,Manual,Hyundai,2012,325000.0,Diesel,5.0,68459.0,First Owner,1396,88.76,21.9,Chennai
1155,Manual,Honda,2016,450000.0,Petrol,5.0,14195.0,First Owner,1199,88.76,18.6,Chennai
1156,Manual,Hyundai,2012,280000.0,Petrol,5.0,67900.0,First Owner,1197,81.83,18.6,Chennai
1157,Automatic,Maruti,2017,409999.99999999994,Petrol,5.0,47756.0,First Owner,998,67.0,20.51,Chennai
1158,Automatic,Hyundai,2016,520000.0,Petrol,5.0,42856.0,First Owner,1197,82.0,18.9,Chennai
1159,Manual,Volkswagen,2014,560000.0,Diesel,5.0,43000.0,First Owner,1498,88.5,20.14,Chennai
1160,Manual,Toyota,2019,702000.0,Petrol,5.0,27652.0,Second Owner,1496,105.94,17.1,Chennai
1161,Manual,Renault,2021,656000.0,Petrol,7.0,23539.0,First Owner,999,71.01,20.0,Chennai
1162,Manual,Maruti,2015,525000.0,Petrol,5.0,50000.0,First Owner,1373,91.1,20.73,Chennai
1163,Manual,Maruti,2017,357000.0,Petrol,5.0,18861.0,Second Owner,998,65.71,24.39,Chennai
1164,Manual,Maruti,2017,512000.0,Petrol,5.0,41138.0,First Owner,1197,81.8,20.4,Chennai
1165,Manual,Hyundai,2012,250000.0,Petrol,5.0,55039.0,First Owner,1086,68.05,19.81,Chennai
1166,Manual,Hyundai,2018,700000.0,Petrol,5.0,41361.0,Second Owner,1197,81.86,18.6,Chennai
1167,Manual,Ford,2015,535000.0,Diesel,5.0,81037.0,First Owner,1498,98.96,23.0,Chennai
1168,Automatic,Honda,2017,641000.0,Petrol,5.0,28897.0,Second Owner,1199,88.7,19.0,Chennai
1169,Manual,Mahindra,2016,339000.0,Petrol,6.0,46308.0,Second Owner,1198,82.0,18.15,Chennai
1171,Automatic,Mini,2015,2650000.0,Diesel,5.0,15000.0,Second Owner,1995,187.74,19.19,Chennai
1172,Manual,Maruti,2012,310000.0,Petrol,5.0,100056.0,First Owner,1197,81.8,20.52,Chennai
1173,Manual,Hyundai,2018,725000.0,Petrol,5.0,90062.0,First Owner,1197,81.86,18.6,Chennai
1174,Manual,Chevrolet,2005,114999.99999999999,Petrol,5.0,80030.0,Third Owner,1599,104.0,17.4,Chennai
1175,Automatic,Mahindra,2016,645000.0,Diesel,7.0,90042.0,First Owner,1493,100.0,18.49,Chennai
1176,Manual,Maruti,2017,440000.00000000006,Petrol,5.0,78030.0,First Owner,1197,81.8,20.52,Chennai
1177,Automatic,BMW,2013,1650000.0,Diesel,5.0,55000.0,Second Owner,1995,184.0,16.09,Chennai
1178,Automatic,Hyundai,2014,975000.0,Diesel,7.0,100049.0,First Owner,2199,194.3,13.01,Chennai
1179,Manual,Chevrolet,2010,535000.0,Diesel,7.0,138033.0,First Owner,2499,78.9,14.8,Chennai
1180,Manual,Datsun,2018,433000.0,Petrol,7.0,14126.0,First Owner,1198,67.05,19.02,Chennai
1181,Manual,Renault,2020,1044999.9999999999,Petrol,5.0,35464.0,First Owner,1330,153.866,16.42,Chennai
1182,Manual,Mahindra,2013,550000.0,Diesel,7.0,100036.0,Second Owner,2696,162.0,12.83,Chennai
1183,Manual,Hyundai,2015,411000.00000000006,Petrol,5.0,55161.0,Third Owner,1197,82.0,18.9,Chennai
1184,Automatic,Hyundai,2019,518000.0,Petrol,5.0,33771.0,First Owner,1086,68.0,20.3,Chennai
1185,Manual,Chevrolet,2016,525000.0,Diesel,8.0,75011.0,First Owner,1248,73.74,18.2,Chennai
1186,Manual,Hyundai,2016,647000.0,Petrol,5.0,41659.0,First Owner,1591,121.3,17.01,Chennai
1187,Automatic,Volvo,2012,925000.0,Diesel,5.0,126055.0,Second Owner,2400,215.0,16.0,Chennai
1188,Manual,Tata,2020,645000.0,Petrol,5.0,19935.0,First Owner,1199,83.81,20.3,Chennai
1189,Manual,Datsun,2016,252999.99999999997,Petrol,5.0,61126.0,First Owner,799,53.64,22.7,Chennai
1190,Manual,Mitsubishi,2012,1025000.0,Diesel,7.0,100043.0,Second Owner,2477,175.56,13.5,Chennai
1191,Manual,Mitsubishi,2013,1175000.0,Diesel,7.0,70034.0,First Owner,2477,175.56,13.5,Chennai
1192,Manual,Volkswagen,2018,600000.0,Diesel,5.0,90068.0,Second Owner,1498,88.0,20.14,Chennai
1193,Manual,Hyundai,2015,405000.0,Petrol,5.0,86694.0,First Owner,1197,81.86,19.1,Chennai
1194,Automatic,Mercedes-Benz,2011,1040000.0,Diesel,5.0,86000.0,Second Owner,2143,170.0,15.8,Chennai
1195,Manual,Maruti,2015,585000.0,Petrol,5.0,79399.0,First Owner,1373,91.1,20.73,Chennai
1196,Automatic,Audi,2012,1175000.0,Diesel,5.0,86038.0,First Owner,1968,140.0,16.55,Chennai
1197,Manual,Maruti,2015,385000.0,Petrol,5.0,69863.0,First Owner,998,67.1,18.9,Chennai
1198,Manual,Toyota,2017,1750000.0,Diesel,7.0,2000022.0,First Owner,2393,147.51,13.68,Chennai
1199,Manual,Hyundai,2013,310000.0,Petrol,5.0,133727.0,First Owner,1197,78.9,20.36,Chennai
1200,Automatic,Hyundai,2016,916000.0,Petrol,5.0,85781.0,First Owner,1591,121.3,13.0,Chennai
1201,Manual,Tata,2022,800000.0,Diesel,5.0,8837.0,First Owner,1497,88.77,23.64,Chennai
1202,Manual,Toyota,2011,475000.0,Diesel,5.0,120057.0,Second Owner,1364,87.2,21.43,Chennai
1203,Manual,Toyota,2019,699000.0,Petrol,5.0,48527.0,First Owner,1197,88.5,22.35,Chennai
1204,Manual,Honda,2017,714000.0,Diesel,5.0,71096.0,Second Owner,1498,98.6,25.5,Chennai
1205,Manual,Honda,2020,750000.0,Petrol,5.0,22000.0,First Owner,1199,88.76,18.6,Chennai
1206,Manual,Hyundai,2020,626000.0,Petrol,5.0,110054.0,First Owner,1197,81.86,20.7,Chennai
1207,Manual,Honda,2012,465000.00000000006,Petrol,5.0,85028.0,First Owner,1497,117.3,17.4,Chennai
1208,Manual,Honda,2021,1268000.0,Petrol,5.0,10990.0,First Owner,1498,119.35,18.6,Chennai
1209,Manual,Hyundai,2017,805000.0000000001,Petrol,5.0,115484.0,Second Owner,1999,149.92,14.59,Chennai
1210,Manual,Skoda,2011,475000.0,Diesel,5.0,80062.0,Second Owner,1968,138.08,17.67,Chennai
1211,Manual,Skoda,2012,375000.0,Diesel,5.0,80039.0,First Owner,1598,103.5,20.5,Chennai
1212,Manual,Maruti,2020,509999.99999999994,Petrol,5.0,16473.0,First Owner,998,65.71,21.7,Chennai
1213,Automatic,BMW,2022,9350000.0,Petrol,5.0,8000.0,First Owner,2998,335.26,11.24,Chennai
1214,Automatic,Maruti,2017,660000.0,Petrol,5.0,53819.0,First Owner,1197,83.1,21.4,Chennai
1215,Manual,Mahindra,2011,495000.0,Diesel,8.0,100060.0,Second Owner,2179,12086.7,15.4,Chennai
1216,Automatic,Volkswagen,2017,790000.0,Petrol,5.0,93000.0,First Owner,1197,103.2,18.19,Chennai
1217,Manual,Maruti,2013,690000.0,Diesel,7.0,82000.0,First Owner,1248,88.76,20.77,Chennai
1218,Automatic,BMW,2013,1450000.0,Diesel,5.0,100057.0,First Owner,1995,190.0,18.12,Chennai
1220,Manual,Hyundai,2018,827000.0,Diesel,5.0,102497.0,First Owner,1582,126.2,22.0,Chennai
1221,Manual,Toyota,2011,345000.0,Petrol,5.0,97942.0,Second Owner,1496,88.73,17.6,Chennai
1222,Manual,Volkswagen,2019,650000.0,Petrol,5.0,78423.0,First Owner,999,75.0,18.78,Chennai
1223,Manual,Maruti,2014,244000.0,Petrol,5.0,43088.0,Second Owner,796,47.33,22.05,Chennai
1224,Manual,Renault,2021,815000.0,Petrol,5.0,14103.0,First Owner,999,98.63,20.5,Chennai
1225,Automatic,Mercedes-Benz,2011,1100000.0,Diesel,5.0,74000.0,First Owner,2143,170.0,15.8,Chennai
1226,Automatic,Toyota,2022,1150000.0,Petrol,5.0,41285.0,First Owner,1462,103.26,18.76,Chennai
1227,Manual,Ford,2012,210000.0,Petrol,5.0,76554.0,Third Owner,1196,70.02,15.6,Chennai
1228,Manual,Datsun,2018,391000.0,Petrol,7.0,25119.0,First Owner,1198,67.05,19.02,Chennai
1229,Manual,Volkswagen,2022,1529000.0,Petrol,5.0,4977.0,First Owner,999,113.98,20.08,Chennai
1230,Automatic,Volvo,2023,5300000.0,Petrol,5.0,10000.0,First Owner,1969,197.0,12.18,Chennai
1231,Automatic,Honda,2004,250000.0,Petrol,5.0,85037.0,Third Owner,2997,218.0,9.0,Chennai
1232,Manual,Maruti,2021,549000.0,Petrol,5.0,2177.0,Second Owner,998,65.71,21.7,Chennai
1233,Manual,Ford,2018,860000.0,Diesel,5.0,40511.0,First Owner,1498,98.96,21.7,Chennai
1234,Manual,Hyundai,2021,1145000.0,Petrol,5.0,30400.0,First Owner,998,118.35,18.0,Chennai
1235,Manual,Honda,2017,790000.0,Diesel,5.0,75000.0,First Owner,1498,98.6,25.5,Chennai
1236,Automatic,Skoda,2021,1650000.0,Petrol,5.0,27600.0,First Owner,999,113.98,17.2,Chennai
1237,Manual,Hyundai,2015,475000.0,Diesel,5.0,53908.0,First Owner,1120,70.0,24.0,Chennai
1239,Automatic,Mercedes-Benz,2017,4950000.0,Diesel,5.0,46000.0,First Owner,2143,201.15,17.9,Chennai
1240,Automatic,Tata,2021,828999.9999999999,Petrol,5.0,9471.0,First Owner,1199,86.63,18.8,Chennai
1241,Automatic,Tata,2020,648000.0,Petrol,5.0,12011.0,First Owner,1199,83.83,23.84,Chennai
1242,Automatic,Volkswagen,2011,375000.0,Petrol,5.0,85000.0,Second Owner,1598,103.6,14.4,Chennai
1243,Automatic,Hyundai,2016,964000.0,Petrol,5.0,27370.0,First Owner,1591,121.3,13.0,Chennai
1244,Manual,Hyundai,2016,288000.0,Petrol,5.0,53098.0,Second Owner,814,55.2,21.1,Chennai
1245,Manual,Datsun,2019,340000.0,Petrol,5.0,51680.0,First Owner,799,53.64,22.7,Chennai
1246,Automatic,Honda,2018,906000.0,Petrol,5.0,35821.0,Second Owner,1497,117.6,18.0,Chennai
1247,Automatic,Land,2013,3300000.0,Petrol,5.0,60000.0,Second Owner,1999,236.7,12.07,Chennai
1248,Automatic,Hyundai,2018,686000.0,Petrol,5.0,39323.0,Second Owner,1197,81.86,17.4,Chennai
1249,Manual,Renault,2016,335000.0,Petrol,5.0,60799.0,First Owner,799,53.3,25.17,Chennai
1250,Automatic,Mercedes-Benz,2014,1350000.0,Diesel,5.0,130000.0,Second Owner,2143,170.0,14.84,Chennai
1251,Automatic,Toyota,2014,1800000.0,Petrol,5.0,63000.0,First Owner,2494,158.2,19.16,Chennai
1252,Automatic,Mercedes-Benz,2017,4900000.0,Diesel,5.0,50000.0,First Owner,2987,254.8,17.0,Chennai
1253,Automatic,BMW,2021,5750000.0,Diesel,5.0,22600.0,First Owner,1995,187.4,19.62,Chennai
1254,Manual,Maruti,2021,900000.0,Petrol,5.0,30000.0,First Owner,1462,103.25,20.65,Chennai
1255,Manual,Hyundai,2018,900000.0,Petrol,5.0,58619.0,First Owner,1591,121.3,17.0,Chennai
1256,Manual,Ford,2019,890000.0,Petrol,5.0,23300.0,First Owner,1497,121.31,17.0,Chennai
1257,Manual,Hyundai,2010,280000.0,Petrol,5.0,121032.0,Third Owner,1197,805200.0,17.0,Chennai
1258,Manual,Hyundai,2010,265000.0,Petrol,5.0,91000.0,First Owner,1197,78.9,20.36,Chennai
1259,Manual,Kia,2020,1200000.0,Diesel,5.0,30000.0,First Owner,1493,113.43,20.8,Chennai
1260,Manual,Maruti,2019,574000.0,Petrol,5.0,82171.0,Second Owner,1197,83.1,21.4,Chennai
1261,Manual,Tata,2022,711000.0,CNG,5.0,18551.0,First Owner,1199,72.0,26.49,Chennai
1262,Automatic,Hyundai,2020,960000.0,Petrol,5.0,35000.0,First Owner,998,118.41,20.28,Chennai
1263,Manual,Maruti,2016,273000.0,Petrol,5.0,50252.0,First Owner,796,47.3,24.7,Chennai
1264,Manual,Honda,2019,593000.0,Petrol,5.0,34715.0,Second Owner,1199,88.76,19.5,Chennai
1265,Automatic,MG,2020,1725000.0,Petrol,5.0,30197.0,First Owner,1451,141.0,13.96,Chennai
1266,Manual,Hyundai,2018,844999.9999999999,Petrol,5.0,79089.0,Second Owner,1591,121.3,13.0,Chennai
1267,Manual,Nissan,2011,300000.0,Petrol,5.0,24035.0,Second Owner,1498,97.7,16.95,Chennai
1268,Manual,Hyundai,2020,735000.0,Diesel,5.0,39605.0,First Owner,1186,73.97,26.2,Chennai
1269,Automatic,Maruti,2016,407000.0,Petrol,5.0,66992.0,First Owner,998,67.0,20.51,Chennai
1271,Manual,Maruti,2017,459999.99999999994,Petrol,5.0,29973.0,First Owner,998,67.05,21.63,Chennai
1272,Manual,Renault,2018,360000.0,Petrol,5.0,49791.0,First Owner,799,53.3,25.17,Chennai
1273,Automatic,MG,2020,1650000.0,Petrol,5.0,52609.0,First Owner,1451,141.0,13.96,Chennai
1274,Manual,Honda,2010,360000.0,Petrol,5.0,70000.0,First Owner,1198,9066.0,16.0,Chennai
1275,Manual,Honda,2018,700000.0,Petrol,5.0,23000.0,First Owner,1199,88.7,17.5,Chennai
