transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
Manual,Renault Fluence,2014,₹ 5.24 Lakh,Diesel,5 Seats,"1,00,000 Kms",Second Owner,1461 CC,108.45bhp,20.4 kmpl,Chennai
Automatic,Audi A4,2014,₹ 21.50 Lakh,Diesel,5 Seats,"12,000 Kms",First Owner,1968 CC,174.33bhp,17.11 kmpl,Chennai
Manual,Hyundai Verna,2011,₹ 6.75 Lakh,Diesel,5 Seats,"70,001 Kms",First Owner,1582 CC,126.32bhp,22.32 kmpl,Chennai
Manual,Hyundai Xcent,2014,₹ 4.70 Lakh,Diesel,5 Seats,"61,331 Kms",First Owner,1120 CC,71.01bhp,24.4 kmpl,Chennai
Manual,Honda Amaze,2014,₹ 5.30 Lakh,Diesel,5 Seats,"51,438 Kms",First Owner,1498 CC,98.6bhp,25.8 kmpl,Chennai
Manual,Hyundai Santro,2019,₹ 4.63 Lakh,Petrol,5 Seats,"67,988 Kms",First Owner,1086 CC,68bhp,20.3 kmpl,Chennai
Automatic,Honda Jazz,2019,₹ 7.27 Lakh,Petrol,5 Seats,"36,032 Kms",Second Owner,1199 CC,88.7bhp,18.2 kmpl,Chennai
Manual,Honda City,2015,₹ 5.15 Lakh,Petrol,5 Seats,"1,14,883 Kms",First Owner,1497 CC,117.60bhp,17.4 kmpl,Chennai
Manual,Maruti Swift Dzire,2016,₹ 5.47 Lakh,Petrol,5 Seats,"88,584 Kms",First Owner,1197 CC,88.50bhp,22.41 kmpl,Chennai
Manual,Maruti Ritz,2012,₹ 3.07 Lakh,Diesel,5 Seats,"97,419 Kms",Second Owner,1248 CC,73.94bhp,23.2 kmpl,Chennai
Automatic,BMW X3,2019,₹ 48 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1998 CC,248.08bhp,13.17 kmpl,Chennai
Manual,Ford Ecosport,2015,₹ 5.29 Lakh,Diesel,5 Seats,"1,06,498 Kms",Second Owner,1498 CC,89.84bhp,22.7 kmpl,Chennai
Automatic,BMW X3,2019,₹ 48 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1998 CC,248.08bhp,13.17 kmpl,Chennai
Manual,Maruti Swift,2016,₹ 6.24 Lakh,Diesel,5 Seats,"68,177 Kms",Second Owner,1248 CC,74bhp,25.2 kmpl,Chennai
Manual,Skoda Slavia,2022,₹ 18.16 Lakh,Petrol,5 Seats,"27,524 Kms",First Owner,1498 CC,147.52bhp,18.72 kmpl,Chennai
Manual,Maruti SX4 S Cross,2017,₹ 8.50 Lakh,Diesel,5 Seats,"75,471 Kms",First Owner,1248 CC,88.5bhp,23.65 kmpl,Chennai
Manual,Honda Amaze,2021,₹ 7.45 Lakh,Petrol,5 Seats,"8,000 Kms",First Owner,1199 CC,88.50bhp,18.6 kmpl,Chennai
Automatic,Kia Carens,2022,₹ 16.90 Lakh,Petrol,6 Seats,"13,200 Kms",First Owner,1482 CC,157.81bhp,,Chennai
Manual,Hyundai Creta,2021,₹ 11.50 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,1497 CC,113.18bhp,,Chennai
Automatic,Citroen C5 Aircross,2022,₹ 30 Lakh,Diesel,5 Seats,"20,000 Kms",First Owner,1997 CC,174.33,18.6 kmpl,Chennai
Manual,Maruti Alto K10,2017,₹ 3.10 Lakh,Petrol,5 Seats,"60,730 Kms",First Owner,998 CC,67.05bhp,23.95 kmpl,Chennai
Manual,Maruti Swift Dzire,2016,₹ 4.95 Lakh,Petrol,5 Seats,"44,494 Kms",Second Owner,1197 CC,83.14bhp,20.85 kmpl,Chennai
Manual,Maruti Ertiga,2017,₹ 8 Lakh,Petrol,7 Seats,"20,000 Kms",First Owner,1373 CC,91.1bhp,17.5 kmpl,Chennai
Automatic,Tata Nexon,2019,₹ 8.25 Lakh,Diesel,5 Seats,"45,673 Kms",First Owner,1497 CC,108.5bhp,21.5 kmpl,Chennai
Manual,Toyota Fortuner,2020,₹ 35.75 Lakh,Diesel,7 Seats,"26,000 Kms",First Owner,2755 CC,174.5bhp,14.24 kmpl,Chennai
Manual,Hyundai Verna,2017,₹ 7.74 Lakh,Petrol,5 Seats,"51,878 Kms",First Owner,1591 CC,121.3bhp,17.01 kmpl,Chennai
Automatic,Nissan Micra,2017,₹ 5.25 Lakh,Petrol,5 Seats,"56,747 Kms",First Owner,1198 CC,75.94bhp,19.15 kmpl,Chennai
Manual,Maruti Swift,2018,₹ 6 Lakh,Petrol,5 Seats,"38,000 Kms",First Owner,1197 CC,81.80bhp,20.4 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.82 Lakh,Petrol,5 Seats,"76,457 Kms",Second Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Honda Jazz,2017,₹ 5.51 Lakh,Petrol,5 Seats,"78,880 Kms",Second Owner,1199 CC,88.7bhp,18.7 kmpl,Chennai
Manual,Maruti Swift Dzire,2015,₹ 5.25 Lakh,Petrol,5 Seats,"19,593 Kms",First Owner,1197 CC,83.14bhp,20.85 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.83 Lakh,Petrol,5 Seats,"84,429 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Hyundai i20,2021,₹ 8.25 Lakh,Diesel,5 Seats,"27,599 Kms",First Owner,1493 CC,98.63bhp,25 kmpl,Chennai
Manual,Renault Triber,2020,₹ 6.70 Lakh,Petrol,7 Seats,"76,898 Kms",First Owner,999 CC,71.01bhp,20 kmpl,Chennai
Manual,Volkswagen Polo,2013,₹ 3.96 Lakh,Petrol,5 Seats,"1,19,070 Kms",Second Owner,1198 CC,73.9bhp,16.47 kmpl,Chennai
Manual,Tata Indica,2004,"₹ 49,000 ",Diesel,5 Seats,"1,20,000 Kms",Second Owner,1405 CC,,13.5 kmpl,Chennai
Manual,Maruti Swift Dzire,2017,₹ 5.90 Lakh,Petrol,5 Seats,"32,199 Kms",First Owner,1197 CC,83.14bhp,20.85 kmpl,Chennai
Manual,Tata Tiago,2016,₹ 4 Lakh,Petrol,5 Seats,"85,607 Kms",First Owner,1199 CC,84bhp,23.84 kmpl,Chennai
Manual,Maruti Baleno,2019,₹ 7 Lakh,Petrol,5 Seats,"30,000 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Mahindra TUV 300,2017,₹ 7 Lakh,Diesel,7 Seats,"80,000 Kms",First Owner,1493 CC,100bhp,18.49 kmpl,Chennai
Manual,Mahindra Scorpio,2019,₹ 11.50 Lakh,Diesel,7 Seats,"12,00,000 Kms",First Owner,2179 CC,136.78bhp,,Chennai
Automatic,Honda Jazz,2016,₹ 5.95 Lakh,Petrol,5 Seats,"45,429 Kms",First Owner,1199 CC,88.7bhp,19 kmpl,Chennai
Manual,Renault KWID,2019,₹ 4.60 Lakh,Petrol,5 Seats,"9,000 Kms",First Owner,799 CC,53.26bhp,22.25 kmpl,Chennai
Manual,Maruti Alto 800,2019,₹ 3.95 Lakh,Petrol,5 Seats,"31,000 Kms",First Owner,796 CC,47.3bhp,24.7 kmpl,Chennai
Manual,Volkswagen Polo,2013,₹ 4.35 Lakh,Diesel,5 Seats,"81,488 Kms",First Owner,1498 CC,88.8bhp,20.14 kmpl,Chennai
Manual,Volkswagen Polo,2019,₹ 6.66 Lakh,Petrol,5 Seats,"94,439 Kms",First Owner,999 CC,75bhp,18.78 kmpl,Chennai
Manual,Maruti Swift,2013,₹ 3.80 Lakh,Petrol,5 Seats,"98,481 Kms",Third Owner,1197 CC,88.50bhp,22.38 kmpl,Chennai
Manual,Maruti Baleno,2018,₹ 7 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Automatic,Volkswagen Vento,2016,₹ 6.92 Lakh,Diesel,5 Seats,"1,00,894 Kms",Second Owner,1498 CC,108.6bhp,22.15 kmpl,Chennai
Manual,Maruti Swift,2016,₹ 5.90 Lakh,Diesel,5 Seats,"86,215 Kms",First Owner,1248 CC,74bhp,25.2 kmpl,Chennai
Manual,Ford Fiesta,2006,₹ 1.25 Lakh,Diesel,5 Seats,"1,20,000 Kms",Second Owner,1399 CC,,17.8 kmpl,Chennai
Manual,Volkswagen Polo,2017,₹ 5.20 Lakh,Petrol,5 Seats,"98,115 Kms",Second Owner,1199 CC,74bhp,16.2 kmpl,Chennai
Manual,Maruti Swift Dzire,2019,₹ 6.95 Lakh,Petrol,5 Seats,"47,125 Kms",First Owner,1298 CC,85.8bhp,17.5 kmpl,Chennai
Manual,Maruti Wagon R,2022,₹ 6.07 Lakh,Petrol,5 Seats,"4,453 Kms",First Owner,1197 CC,88.50bhp,23.56 kmpl,Chennai
Manual,Tata Punch,2022,₹ 6.88 Lakh,Petrol,5 Seats,"9,991 Kms",First Owner,1199 CC,86.63bhp,20.09 kmpl,Chennai
Manual,Maruti Wagon R,2021,₹ 6.60 Lakh,Petrol,5 Seats,"4,564 Kms",First Owner,998 CC,67.1bhp,18.9 kmpl,Chennai
Manual,Ford Figo,2012,₹ 2.50 Lakh,Diesel,5 Seats,"1,08,713 Kms",First Owner,1399 CC,68bhp,20 kmpl,Chennai
Manual,Honda City,2021,₹ 12.45 Lakh,Petrol,5 Seats,"13,000 Kms",First Owner,1498 CC,119.35bhp,18.6 kmpl,Chennai
Manual,Honda WR-V,2017,₹ 5.75 Lakh,Petrol,5 Seats,"55,450 Kms",Second Owner,1199 CC,88.7bhp,17.5 kmpl,Chennai
Manual,Hyundai Creta,2016,₹ 8.45 Lakh,Petrol,5 Seats,"49,000 Kms",First Owner,1591 CC,121.3bhp,13 kmpl,Chennai
Manual,Hyundai Xcent,2015,₹ 4.05 Lakh,Petrol,5 Seats,"86,694 Kms",First Owner,1197 CC,81.86bhp,20.14 kmpl,Chennai
Manual,Maruti Swift Dzire,2013,₹ 3 Lakh,Diesel,5 Seats,"1,50,000 Kms",Second Owner,1248 CC,74bhp,23.4 kmpl,Chennai
Manual,Honda City,2019,₹ 9.25 Lakh,Petrol,5 Seats,"25,284 Kms",,1497 CC,117.60bhp,17.4 kmpl,Chennai
Manual,Toyota Glanza,2021,₹ 7.50 Lakh,Petrol,5 Seats,"30,000 Kms",First Owner,1197 CC,81.80bhp,21.01 kmpl,Chennai
Automatic,BMW 3 Series,2015,₹ 13 Lakh,Diesel,5 Seats,"1,09,000 Kms",Second Owner,1995 CC,184bhp,18.88 kmpl,Chennai
Manual,Kia Carens,2022,₹ 17.14 Lakh,Petrol,6 Seats,"4,605 Kms",First Owner,1353 CC,138.05bhp,16.2 kmpl,Chennai
Manual,Kia Sonet,2020,₹ 9.28 Lakh,Petrol,5 Seats,"49,218 Kms",First Owner,998 CC,118.36bhp,18.2 kmpl,Chennai
Manual,Honda City,2021,₹ 9.50 Lakh,Petrol,5 Seats,"45,568 Kms",First Owner,1498 CC,119.35bhp,18.6 kmpl,Chennai
Manual,Tata Punch,2022,₹ 7.02 Lakh,Petrol,5 Seats,"36,035 Kms",First Owner,1199 CC,86.63bhp,20.09 kmpl,Chennai
Manual,Mahindra XUV300,2020,₹ 8.45 Lakh,Diesel,5 Seats,"45,242 Kms",First Owner,1497 CC,115.05bhp,20.1 kmpl,Chennai
Automatic,Land Rover Discovery Sport,2018,₹ 34.75 Lakh,Diesel,7 Seats,"38,000 Kms",Second Owner,2179 CC,187.7bhp,12.51 kmpl,Chennai
Automatic,Tata Tiago,2019,₹ 5.13 Lakh,Petrol,5 Seats,"52,979 Kms",First Owner,1199 CC,83.83bhp,23.84 kmpl,Chennai
Manual,Honda Amaze,2015,₹ 5.70 Lakh,Diesel,5 Seats,"67,130 Kms",Second Owner,1498 CC,98.63bhp,24.7 kmpl,Chennai
Manual,Honda BR-V,2018,₹ 8.51 Lakh,Petrol,7 Seats,"19,595 Kms",First Owner,1497 CC,117.3bhp,15.4 kmpl,Chennai
Manual,Mahindra Scorpio N,2022,₹ 23.50 Lakh,Diesel,7 Seats,"23,183 Kms",First Owner,2198 CC,172.45bhp,,Chennai
Automatic,BMW 3 Series Gran Limousine,2022,₹ 57.90 Lakh,Diesel,5 Seats,"15,000 Kms",First Owner,1995 CC,187.40bhp,19.62 kmpl,Chennai
Manual,Maruti Celerio,2014,₹ 3.70 Lakh,Petrol,5 Seats,"67,558 Kms",First Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Manual,Hyundai Alcazar,2021,₹ 19 Lakh,Petrol,6 Seats,"40,000 Kms",First Owner,1999 CC,156.9bhp,14.5 kmpl,Chennai
Manual,Volkswagen Polo,2014,₹ 4.60 Lakh,Petrol,5 Seats,"55,664 Kms",First Owner,1198 CC,74bhp,16.47 kmpl,Chennai
Manual,Volkswagen Polo,2014,₹ 4.60 Lakh,Petrol,5 Seats,"55,664 Kms",First Owner,1198 CC,74bhp,16.47 kmpl,Chennai
Manual,Hyundai i20,2013,₹ 3.65 Lakh,Diesel,5 Seats,"1,09,324 Kms",First Owner,1396 CC,90PS at 4000rpm,21.9 kmpl,Chennai
Automatic,Skoda Kodiaq,2018,₹ 26 Lakh,Diesel,7 Seats,"1,18,008 Kms",First Owner,1968 CC,148bhp,16.25 kmpl,Chennai
Manual,Renault Duster,2016,₹ 7.90 Lakh,Diesel,5 Seats,"72,000 Kms",First Owner,1461 CC,108.45bhp,19.72 kmpl,Chennai
Manual,Maruti Swift,2013,₹ 4.50 Lakh,Diesel,5 Seats,"86,630 Kms",First Owner,1248 CC,74bhp,22.9 kmpl,Chennai
Manual,Maruti Wagon R,2014,₹ 3.70 Lakh,Petrol,5 Seats,"82,476 Kms",First Owner,998 CC,67.04bhp,20.51 kmpl,Chennai
Automatic,Hyundai Grand i10 Nios,2019,₹ 6.65 Lakh,Petrol,5 Seats,"27,749 Kms",Second Owner,1197 CC,81.86bhp,20.7 kmpl,Chennai
Automatic,Hyundai Venue,2020,₹ 10.36 Lakh,Petrol,5 Seats,"21,609 Kms",First Owner,998 CC,118.35bhp,18.15 kmpl,Chennai
Manual,Honda City,2019,₹ 8.75 Lakh,Petrol,5 Seats,"89,609 Kms",First Owner,1493 CC,106 bhp ,16 kmpl,Chennai
Manual,Ford Freestyle,2019,₹ 5.39 Lakh,Diesel,5 Seats,"83,556 Kms",Second Owner,1498 CC,98.63bhp,24.4 kmpl,Chennai
Manual,Tata Punch,2022,₹ 8.47 Lakh,Petrol,5 Seats,"31,513 Kms",First Owner,1199 CC,86.63bhp,20.09 kmpl,Chennai
Manual,Honda City,2016,₹ 7.55 Lakh,Petrol,5 Seats,"45,939 Kms",First Owner,1497 CC,117.60bhp,17.4 kmpl,Chennai
Manual,Tata Tiago,2020,₹ 4.96 Lakh,Petrol,5 Seats,"40,531 Kms",First Owner,1199 CC,84.82bhp,19.01 kmpl,Chennai
Manual,Mahindra Bolero,2009,₹ 3.75 Lakh,Diesel,7 Seats,"1,20,000 Kms",Third Owner,2523 CC,63 HP at 3200 rpm,13.6 kmpl,Chennai
Automatic,Maruti Vitara Brezza,2020,₹ 10.09 Lakh,Petrol,5 Seats,"17,663 Kms",First Owner,1462 CC,103.26bhp,18.76 kmpl,Chennai
Manual,Hyundai Grand i10,2013,₹ 3.39 Lakh,Petrol,5 Seats,"77,706 Kms",Third Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Automatic,Audi Q7,2016,₹ 49 Lakh,Diesel,7 Seats,"49,000 Kms",First Owner,2967 CC,245bhp,14.75 kmpl,Chennai
Automatic,Volvo XC 90,2019,₹ 68 Lakh,Diesel,7 Seats,"60,000 Kms",First Owner,1969 CC,235bhp,17.2 kmpl,Chennai
Automatic,BMW 3 Series,2018,₹ 34 Lakh,Diesel,5 Seats,"35,000 Kms",First Owner,1995 CC,187.74bhp,20.37 kmpl,Chennai
Automatic,Jaguar F-Pace,2018,₹ 50 Lakh,Diesel,5 Seats,"54,000 Kms",First Owner,1999 CC,177bhp,16.38 kmpl,Chennai
Manual,Honda New Accord,2010,₹ 5.19 Lakh,Petrol,5 Seats,"1,10,000 Kms",First Owner,2354 CC,177.6bhp,12.8 kmpl,Chennai
Automatic,Audi Q7,2013,₹ 21.50 Lakh,Diesel,7 Seats,"1,35,000 Kms",Second Owner,2967 CC,241.4bhp,12.07 kmpl,Chennai
Automatic,Audi A4,2012,₹ 14.50 Lakh,Diesel,5 Seats,"80,000 Kms",First Owner,1968 CC,174.33bhp,17.11 kmpl,Chennai
Manual,Maruti SX4 S Cross,2018,₹ 8.25 Lakh,Diesel,5 Seats,"72,020 Kms",First Owner,1248 CC,88.5bhp,23.65 kmpl,Chennai
Manual,Toyota Innova Crysta,2017,₹ 18.50 Lakh,Diesel,7 Seats,"98,000 Kms",First Owner,2393 CC,147.8bhp,13.68 kmpl,Chennai
Manual,Maruti Alto,2007,₹ 1.65 Lakh,Petrol,5 Seats,"36,385 Kms",,796 CC,46.3bhp,19.7 kmpl,Chennai
Manual,Hyundai Alcazar,2022,₹ 19.91 Lakh,Diesel,7 Seats,"4,259 Kms",First Owner,1493 CC,113.98bhp,20.4 kmpl,Chennai
Automatic,Tata Harrier,2021,₹ 19.94 Lakh,Diesel,5 Seats,"12,925 Kms",First Owner,1956 CC,167.67bhp,14.6 kmpl,Chennai
Automatic,Volkswagen Taigun,2022,₹ 16.45 Lakh,Petrol,5 Seats,"27,000 Kms",First Owner,1498 CC,147.51bhp,17.88 kmpl,Chennai
Manual,Tata Nexon,2019,₹ 7.19 Lakh,Petrol,5 Seats,"27,425 Kms",Second Owner,1198 CC,108.5bhp,17 kmpl,Chennai
Automatic,Maruti Celerio,2021,₹ 6.33 Lakh,Petrol,5 Seats,"13,126 Kms",First Owner,998 CC,65.71bhp,26 kmpl,Chennai
Manual,Maruti Ertiga,2018,₹ 7.99 Lakh,Petrol,7 Seats,"57,000 Kms",First Owner,1462 CC,103bhp,19.34 kmpl,Chennai
Automatic,Maruti Baleno,2020,₹ 8.61 Lakh,Petrol,5 Seats,"24,500 Kms",Second Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Maruti Swift Dzire,2020,₹ 6.10 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,1197 CC,88.50bhp,22.41 kmpl,Chennai
Manual,Renault Triber,2021,₹ 7.49 Lakh,Petrol,7 Seats,"27,216 Kms",First Owner,999 CC,71.01bhp,20 kmpl,Chennai
Manual,Tata Tiago,2021,₹ 6.48 Lakh,Petrol,5 Seats,"12,060 Kms",First Owner,1199 CC,84.82bhp,19.01 kmpl,Chennai
Manual,Maruti Swift Dzire,2009,₹ 2.50 Lakh,Diesel,5 Seats,"1,50,000 Kms",First Owner,1248 CC,73.9bhp,19.3 kmpl,Chennai
Manual,Hyundai EON,2012,₹ 2.65 Lakh,Petrol,5 Seats,"46,931 Kms",Second Owner,814 CC,55.2bhp,21.1 kmpl,Chennai
Manual,Volkswagen Polo,2014,₹ 4.90 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,1198 CC,73.9bhp,16.47 kmpl,Chennai
Manual,Kia Seltos,2020,₹ 15.90 Lakh,Petrol,5 Seats,"45,787 Kms",First Owner,1353 CC,138.08bhp,16.5 kmpl,Chennai
Manual,Tata Indigo,2009,₹ 1.14 Lakh,Petrol,5 Seats,"80,000 Kms",Second Owner,1396 CC,65,14.4 kmpl,Chennai
Manual,Honda Amaze,2014,₹ 4.75 Lakh,Diesel,5 Seats,"44,000 Kms",First Owner,1498 CC,98.6bhp,25.8 kmpl,Chennai
Automatic,Honda Amaze,2020,₹ 9.73 Lakh,Petrol,5 Seats,"4,786 Kms",First Owner,1199 CC,88.76bhp,18.3 kmpl,Chennai
Manual,Hyundai i20,2018,₹ 6.30 Lakh,Petrol,5 Seats,"39,024 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Automatic,BMW 3 Series Gran Limousine,2022,₹ 58.50 Lakh,Petrol,5 Seats,"6,000 Kms",First Owner,1998 CC,254.79bhp,15.3 kmpl,Chennai
Manual,Tata Nano,2014,₹ 1.50 Lakh,Petrol,4 Seats,"40,000 Kms",First Owner,624 CC,37.5bhp,25.4 kmpl,Chennai
Manual,Hyundai Creta,2018,₹ 8.27 Lakh,Petrol,5 Seats,"1,14,386 Kms",First Owner,1591 CC,121.3bhp,15.8 kmpl,Chennai
Manual,Renault Triber,2022,₹ 7.15 Lakh,Petrol,7 Seats,"27,369 Kms",First Owner,999 CC,71.01bhp,20 kmpl,Chennai
Manual,Toyota Innova Crysta,2019,₹ 21 Lakh,Diesel,7 Seats,"58,000 Kms",First Owner,2393 CC,147.51bhp,13.68 kmpl,Chennai
Manual,Hyundai Grand i10,2019,₹ 5.69 Lakh,Petrol,5 Seats,"16,561 Kms",Second Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Manual,Renault KWID,2021,₹ 4.90 Lakh,Petrol,5 Seats,"23,328 Kms",First Owner,999 CC,67bhp,21.74 kmpl,Chennai
Manual,Maruti S-Presso,2020,₹ 4.85 Lakh,Petrol,5 Seats,"16,473 Kms",First Owner,998 CC,65.71bhp,21.7 kmpl,Chennai
Manual,Honda Brio,2017,₹ 4.52 Lakh,Petrol,5 Seats,"46,375 Kms",Second Owner,1198 CC,86.8bhp,18.5 kmpl,Chennai
Manual,Maruti S-Presso,2020,₹ 4.85 Lakh,Petrol,5 Seats,"16,473 Kms",First Owner,998 CC,65.71bhp,21.7 kmpl,Chennai
Automatic,Maruti Baleno,2017,₹ 6.22 Lakh,Petrol,5 Seats,"91,799 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.54 Lakh,Petrol,5 Seats,"38,919 Kms",Third Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Maruti Wagon R,2016,₹ 3.75 Lakh,Petrol,5 Seats,"70,235 Kms",First Owner,998 CC,67.1bhp,18.9 kmpl,Chennai
Automatic,Honda Amaze,2020,₹ 9.67 Lakh,Petrol,5 Seats,"3,989 Kms",First Owner,1199 CC,88.76bhp,18.3 kmpl,Chennai
Manual,Honda Amaze,2015,₹ 4.75 Lakh,Diesel,5 Seats,"91,773 Kms",First Owner,1498 CC,98.63bhp,24.7 kmpl,Chennai
Manual,Maruti Alto 800,2019,₹ 3.20 Lakh,Petrol,5 Seats,"60,000 Kms",Second Owner,796 CC,47.33bhp,22.05 kmpl,Chennai
Manual,Honda Amaze,2018,₹ 6.95 Lakh,Petrol,5 Seats,"28,906 Kms",First Owner,1199 CC,88.76bhp,18.6 kmpl,Chennai
Manual,Maruti Celerio,2016,₹ 3.50 Lakh,Diesel,5 Seats,"1,50,000 Kms",First Owner,793 CC,47bhp,27.62 kmpl,Chennai
Manual,Hyundai i20,2009,₹ 2.50 Lakh,Petrol,5 Seats,"70,000 Kms",Third Owner,1197 CC,80 PS at 5200 rpm,17 kmpl,Chennai
Manual,Mahindra XUV500,2017,₹ 12.50 Lakh,Diesel,7 Seats,"70,000 Kms",First Owner,2179 CC,140bhp,16 kmpl,Chennai
Manual,Maruti Alto 800,2014,₹ 2.60 Lakh,Petrol,5 Seats,"43,428 Kms",First Owner,796 CC,47.3bhp,22.74 kmpl,Chennai
Manual,Chevrolet Beat,2013,₹ 2.85 Lakh,Diesel,5 Seats,"67,000 Kms",First Owner,936 CC,57.6bhp,25.44 kmpl,Chennai
Automatic,Maruti Baleno,2017,₹ 6.16 Lakh,Petrol,5 Seats,"70,528 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.94 Lakh,Petrol,5 Seats,"35,413 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Maruti Alto 800,2018,₹ 3.20 Lakh,Petrol,5 Seats,"40,000 Kms",Second Owner,796 CC,47.3bhp,24.7 kmpl,Chennai
Automatic,Honda Jazz,2017,₹ 6.47 Lakh,Petrol,5 Seats,"66,285 Kms",First Owner,1199 CC,88.7bhp,19 kmpl,Chennai
Automatic,Kia Seltos,2019,₹ 14 Lakh,Petrol,5 Seats,"83,129 Kms",First Owner,1353 CC,138.08bhp,16.5 kmpl,Chennai
Manual,Honda City,2016,₹ 6 Lakh,Petrol,5 Seats,"87,055 Kms",First Owner,1497 CC,117.60bhp,17.4 kmpl,Chennai
Manual,Hyundai Grand i10,2019,₹ 5.05 Lakh,Petrol,5 Seats,"37,218 Kms",Second Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Manual,Hyundai Venue,2019,₹ 9 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,998 CC,118.35bhp,18.27 kmpl,Chennai
Manual,Hyundai i20,2019,₹ 7.30 Lakh,Petrol,5 Seats,"33,640 Kms",First Owner,1197 CC,81.86bhp,18.6 kmpl,Chennai
Manual,Ford Freestyle,2020,₹ 6.48 Lakh,Petrol,5 Seats,"23,608 Kms",First Owner,1194 CC,94.93bhp,18.5 kmpl,Chennai
Manual,Hyundai i20,2013,₹ 4.35 Lakh,Petrol,5 Seats,"22,353 Kms",First Owner,1197 CC,82.85bhp,18.5 kmpl,Chennai
Automatic,Skoda Rapid,2017,₹ 9 Lakh,Diesel,5 Seats,"1,20,000 Kms",First Owner,1498 CC,108.6bhp,21.72 kmpl,Chennai
Manual,Honda City,2018,₹ 7.40 Lakh,Petrol,5 Seats,"54,241 Kms",First Owner,1497 CC,117.3bhp,17.4 kmpl,Chennai
Manual,Maruti Wagon R,2012,₹ 3.20 Lakh,Petrol,5 Seats,"86,173 Kms",First Owner,998 CC,67.05bhp,21.79 kmpl,Chennai
Manual,Hyundai i10,2011,₹ 2.95 Lakh,Petrol,5 Seats,"91,143 Kms",First Owner,1197 CC,78.9bhp,20.36 kmpl,Chennai
Manual,Mahindra TUV 300,2016,₹ 7.90 Lakh,Diesel,7 Seats,"36,000 Kms",First Owner,1493 CC,100bhp,18.49 kmpl,Chennai
Manual,Honda City,2015,₹ 5.30 Lakh,Petrol,5 Seats,"1,08,818 Kms",First Owner,1497 CC,117.3bhp,17.4 kmpl,Chennai
Manual,Volkswagen Polo,2011,₹ 3.15 Lakh,Diesel,5 Seats,"1,20,000 Kms",Second Owner,1199 CC,73.9bhp,22.07 kmpl,Chennai
Automatic,Mercedes-Benz C-Class,2008,₹ 8.50 Lakh,Diesel,5 Seats,"1,07,000 Kms",Second Owner,2143 CC,170bhp,14.84 kmpl,Chennai
Manual,Honda City,2014,₹ 5.70 Lakh,Petrol,5 Seats,"90,530 Kms",First Owner,1497 CC,"118PS at 6,600 rpm",17 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.76 Lakh,Petrol,5 Seats,"77,957 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Hyundai Creta,2017,₹ 8.42 Lakh,Petrol,5 Seats,"81,394 Kms",Second Owner,1591 CC,121.3bhp,13 kmpl,Chennai
Manual,Maruti Ciaz,2017,₹ 6.75 Lakh,Petrol,5 Seats,"64,341 Kms",First Owner,1373 CC,91.1bhp,20.73 kmpl,Chennai
Manual,Hyundai Grand i10,2017,₹ 5.18 Lakh,Petrol,5 Seats,"33,407 Kms",First Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Manual,Datsun RediGO,2021,₹ 3.97 Lakh,Petrol,5 Seats,"14,811 Kms",First Owner,799 CC,53.64bhp,20.71 kmpl,Chennai
Manual,Skoda Rapid,2017,₹ 7.75 Lakh,Petrol,5 Seats,"37,000 Kms",First Owner,1598 CC,103.2bhp,14.3 kmpl,Chennai
Manual,Jeep Compass,2017,₹ 11.66 Lakh,Diesel,5 Seats,"49,326 Kms",Second Owner,1956 CC,170bhp,17.1 kmpl,Chennai
Manual,Honda New Accord,2009,₹ 4.50 Lakh,Petrol,5 Seats,"1,20,000 Kms",Third Owner,2354 CC,180 ,9.8 kmpl,Chennai
